Author;URLs;Heading;Views;Engagement;Action;Likes;Comments;Shares;Createtime;Duration
pearriepai;https://www.tiktok.com/@pearriepai/video/7622524540702280981;จะเป็นพสเกา แต่ชอบฟังเพลงที่ตั้กแตน 🥹 #fyp @mile (มาย) ;78400;8540;289;8251;19;270;46110;15
pearriepai;https://www.tiktok.com/@pearriepai/video/7622351337895775508;ฟินนนนนนน 🥹 #tws ;19300;3113;67;3046;17;50;46109;20
pearriepai;https://www.tiktok.com/@pearriepai/video/7622348653117574421;ป้าปวดใจ…. น้องน่ารัก 🥹💙 #tws ;10200;1563;50;1513;5;45;46109;174
pearriepai;https://www.tiktok.com/@pearriepai/video/7622292275133205781;ดีใจจจจจ !! 😭🔥👍🏼 #koop m#milli ;544200;48744;444;48300;46;398;46109;41
pearriepai;https://www.tiktok.com/@pearriepai/video/7622205181677014293;42 🫡 #tws ;26600;2599;37;2562;3;34;46109;11
pearriepai;https://www.tiktok.com/@pearriepai/video/7622202132002852117;แบ่งวงละวันค่ะพี่ๆ 🥹🫶🏻 #บันเทิงtiktok #tiktokแฟนด้อม ;45200;5517;154;5363;6;148;46109;117
pearriepai;https://www.tiktok.com/@pearriepai/video/7622175396699704597;เหงาๆ ไม่มีคู่ที่เกาหลีค่ะ 🇰🇷🥹 @mile (มาย) #fyp ;129900;19903;503;19400;34;469;46109;19
pearriepai;https://www.tiktok.com/@pearriepai/video/7622147638011628820;อยากเท่บ้างงง 🥹 #เมะ #fyp ;28200;2379;81;2298;9;72;46109;52
pearriepai;https://www.tiktok.com/@pearriepai/video/7621859825114221845;Culture ดูคอนที่ไทย VS ดูคอนที่ต่างประเทศ #โอโม #OmoThailand #โอโมหอมละมุนน่าคิส #หอมไม่ฉุน ;6999;314;17;297;14;3;46108;109
pearriepai;https://www.tiktok.com/@pearriepai/video/7621822158377061652;rude!! #fyp ;24900;2305;5;2300;1;4;46108;18
pearriepai;https://www.tiktok.com/@pearriepai/video/7621362655412047125;ชีวิตติดเตียง แต่บินไกลมาก 😬🇰🇷  ;74100;8937;707;8230;20;687;46107;36
pearriepai;https://www.tiktok.com/@pearriepai/video/7621086086558715157;น่ารักมากกก ออกแบบปากกา!!👍🏼🩷 #รีวิวเกาหลี ;33600;3110;590;2520;5;585;46106;66
pearriepai;https://www.tiktok.com/@pearriepai/video/7621035603420908820;ฟินอ่ะ 🥹 @mile (มาย) ;28600;4128;77;4051;9;68;46106;63
pearriepai;https://www.tiktok.com/@pearriepai/video/7620845826155318549;ความสุขในวัยใกล้ 30 สินะ…. 🥹 #fyp ;45800;6933;590;6343;30;560;46105;17
pearriepai;https://www.tiktok.com/@pearriepai/video/7619692310103624980;ทุกพื้นที่มีแต่บังทัน !! 💜 #bts #BTS_ARIRANG ;85200;14156;356;13800;29;327;46102;57
pearriepai;https://www.tiktok.com/@pearriepai/video/7618983276652367124;แมสได้เลย!!  รายการโคตรสนุก 🔥👍🏼 #บันเทิงtiktok #tiktokแฟนด้อม ;35400;1831;38;1793;11;27;46100;125
pearriepai;https://www.tiktok.com/@pearriepai/video/7618509243796213012;จริงจังเหมือนแข่งเอาถ้วย 😂 แพรรี่ ลี x จูเนียร์ มาร์ค โอห์ม ปูน นักแสดงจากซีรีส์ My Romance Scammer รักจริง หลังแต่ง รับชมย้อนหลัง ทุกวันอาทิตย์ เวลา 21:30 น. ทาง WeTV ที่เดียวเท่านั้น #MyRomanceScammer #WeTVth #GMMTV #JuniorMark #OhmPoon;29900;3617;102;3515;13;89;46099;77
pearriepai;https://www.tiktok.com/@pearriepai/video/7617516062199942421;ชีวิตติ่งก็แค่นี้… 🥺 #tiktokแฟนด้อม #บันเทิงtiktok #ติ่งกับtiktok ;57300;7994;731;7263;15;716;46096;34
pearriepai;https://www.tiktok.com/@pearriepai/video/7617504116608109844;ถึงไม่ได้ไป แค่ตามดูก็สนุกแล้วค่ะ 🥹👍🏼 #บันเทิงtiktok #tiktokแฟนด้อม ;18500;1808;43;1765;18;25;46096;103
pearriepai;https://www.tiktok.com/@pearriepai/video/7617354504014499092;เดจาวูแบบ งงๆ 🥹 #tiktokแฟนด้อม #ติ่งกับtiktok ;47100;4989;60;4929;7;53;46096;71
pearriepai;https://www.tiktok.com/@pearriepai/video/7617199561441889556;เรารักน่องบูมากๆๆๆ 🥺 #seventeen ;33600;4538;87;4451;14;73;46095;70
pearriepai;https://www.tiktok.com/@pearriepai/video/7617198443995352340;อึ้งงง !!! 🥹 #บันเทิงtiktok #seventeen ;11800;1002;21;981;3;18;46095;49
